comment,replies,date,user_name
"The saying used to be ""New York London Melbourne Paris"" and now they dropped the Melbourne for some reason 😂",[],2024-10-25T00:07:48Z,@patrickmcmanus5373
thanks for the support!,[],2024-10-24T23:44:59Z,@vvcopedals
"Amazes me how people still call the 2 and 4 positions ""out of phase"".",[],2024-10-24T23:44:27Z,@benjaminwoodrowmusic6070
Jess can’t stop him. No one can!!!,[],2024-10-24T23:31:51Z,@remedyzskate
"""Like um like like like like un anyway um like like like"".  Very interesting . . .",['Hater energy'],2024-10-24T23:18:29Z,@livy1962
🗣 Jess is cracking the whip to head down 🗣,[],2024-10-24T23:10:15Z,@ninaeatworld
"Joey with a Darkthrone t-shirt, will we see a black metal gizz album?",['We can only dream'],2024-10-24T23:07:49Z,@KhalidElMouloudi
So sick to have these guys on here.,[],2024-10-24T22:56:27Z,@ZacTBH
Finally a guitar rig with these guys!,[],2024-10-24T22:32:12Z,@TheRodolfoVideos
About damn time we got THE BOYS on a rig rundown,[],2024-10-24T22:29:59Z,@jab00ty42
My favorite band. Every album is an experience.,[],2024-10-24T22:20:25Z,@alivonal7442
Greatest touring band in the world right now. They put on the best show I’ve seen you gotta go see this band live,[],2024-10-24T22:10:13Z,@zanderkahres8112
I hope Stu isnt in any opiates.... itching his nose alot and it's red....,"['Nerves more like', ""It's bag ya dingus""]",2024-10-24T21:32:51Z,@WeezelSnouts
The sultans lick 13:58😂😂😂,[],2024-10-24T21:25:52Z,@Tanzanialanding
My TV blew up while watching this cause it couldn’t handle this much mustache,[],2024-10-24T20:45:00Z,@largefriesMrGravy
"Not my favorite band, but definitely one of the best bands I've seen live.",[],2024-10-24T20:41:16Z,@madcat5965
I'm a clueless drummer and I loved every second of this.,[],2024-10-24T20:15:36Z,@patrickyoung8277
Basically guitar necklaces,[],2024-10-24T19:58:40Z,@readysetmoses
"I would never play electric guitar barefoot , I know it’s different now but I heard about a guy in the yard birds that stepped in a puddle of water and got electrocuted and died , he was young",[],2024-10-24T19:45:51Z,@fleadoggreen9062
"I have absolutely no idea what they are talking about but its great and I'm all for it!
King Gizz Rock!",[],2024-10-24T19:35:33Z,@HorridDave
"Might be a dumb question, but does anyone know what coiled cable Stu is using? I don't recognize the black pancake plug.",[],2024-10-24T19:32:36Z,@garmacintyre
I HAVE BEEN WAITING ON THIS FOR YEARS,['ok'],2024-10-24T19:17:02Z,@patrickmurray4772
YESSS FINALLY,[],2024-10-24T19:10:06Z,@Gliese710_
Bro where’s cookie,[],2024-10-24T18:52:10Z,@McDoinky
the oxxo tattoo,[],2024-10-24T18:51:40Z,@peeepppy
SI,[],2024-10-24T18:51:21Z,@tmvps
"I don't ""want"" to interrupt you Stu but let me walk right into the frame and snap a clapperboard at you guys like I'm the A.D. on a Tarantino movie and you're not actually my employer that I should have politely signaled to off camera. What a sweetheart 🤢 She seems like a really fun and interesting person to be around 👀","['Enough hate already, she is literally doing her job. That’s what she’s there to do, so the boys don’t have to have that stress and be the rude ones. The boys need to sound check. They have a gig to do. It’s thanks to people like her live shows are possible. You get to be upset when the venue pulls the plug to the stage, but not this']",2024-10-24T17:54:57Z,@AnodyneHipsterInfluencer
I used to pray for times like these.,[],2024-10-24T17:44:46Z,@gamezharks
"Can’t wait to see where that Earthquaker vocal pedal goes, hopefully public sooner than later",[],2024-10-24T17:33:42Z,@inc388
Say “microtonal” one more time…,[],2024-10-24T17:07:46Z,@rogn1237
like like like :D,[],2024-10-24T17:01:08Z,@hustlinc3540
I LOVE THE GIZZZZZZZ!,[],2024-10-24T16:46:24Z,@iPig
So fucking upset I missed this show,[],2024-10-24T16:27:16Z,@mr.miserlou8323
Moustache Standoff!,[],2024-10-24T15:33:26Z,@Tom-gr4em
stu got the dogs out !!!!!,[],2024-10-24T14:30:09Z,@BenMarkParry
"Thank you, Jess, for giving Stu an extra 2-3 minutes! Gotta keep the boys in line but we've been waiting for this Rig Rundown!",['well when you’ve done that much coke it’s pretty hard to stop someone talking 😅'],2024-10-24T14:25:40Z,@mybreathyourlung
kinda sad that there is no conversation with Cook. he's absolutely brilliant,"['He politely declined and as you could see, TM Jess said time was out 🤣']",2024-10-24T14:08:39Z,@SewSawThief
"""We need to wrap this up and do sound check""
""Let's do 2 more mins, thanks jess""
When you're your own boss.",[],2024-10-24T13:59:38Z,@kyles5513
And got a humbucker just to fucken to Angus Young that shit,[],2024-10-24T13:26:03Z,@BenFTI2K
Holy fuck i played at main drag!!!,[],2024-10-24T12:12:09Z,@cookerjam
Yamaha should make a modernized/updated signature model of Stu's Flying Samurai.,"['They should call it the “Yamahan Tyumi flying samurai”', '@@JacowateHamaeran They will 100% miss that opportunity but i love it']",2024-10-24T11:43:36Z,@RoelHovenga
"Nova guitars are SEXY A.F... 

Can't we all agree?",[],2024-10-24T11:38:09Z,@basildog007
Love their guitars!,[],2024-10-24T11:38:02Z,@AbstractCatsMedia
FINALLY❤️,[],2024-10-24T11:13:06Z,@bimlenbamlen6289
More microtonal music?? Please!,[],2024-10-24T10:37:28Z,@anusername8350
Please do another with Cookie and Luke!,[],2024-10-24T09:55:32Z,@deckboys9867
"Joey rocking the Under a Funeral Moon shirt, you know bro has good taste",[],2024-10-24T09:31:06Z,@purgatoriolamosca
Omg omg omg gizz rundown,[],2024-10-24T09:23:13Z,@1tsmeadam
“Trill shit”. I LOVE these lads so much. ❤,[],2024-10-24T09:03:59Z,@TheBurdenOfHope
Yes. Finally!,[],2024-10-24T08:46:12Z,@rapragermusic
"I somehow have a more accurate king gizz pedalboard than king gizz does currently lolll

Guitar hero ass mfs",[],2024-10-24T08:06:22Z,@LordBorbos
36:30 someone needs to make a wah pedal with a BEEFY button and make it the Stu signature pedal,"['@@Treyorrrr wah/expression, with a delay setting on it would be something else.']",2024-10-24T07:22:31Z,@Treyorrrr
Saw them that night. Was a good show,[],2024-10-24T06:07:22Z,@PetfaxTV
11:07 I don’t believe these guys have a hip-hop song. Maybe what they think is hip-hop…..,"['Ooooooo Sadie Sorceresssssss', ""Nah, definitely Hip Hop. It has rapping, the right drums, sound and tempo. It's Hip Hop."", 'Hate to break it to you, but they have two hip hop songs', 'If those tracks aren’t hip hop I guess wutang and beastie boys aren’t hip hop either']",2024-10-24T05:47:52Z,@middlesidetopwise
Love watching two mustache guys 😄🔥,[],2024-10-24T05:28:42Z,@studioruangsvara
Best YouTube video I’ve seen maybe ever! Love Gizz!,[],2024-10-24T04:59:02Z,@SimonT54
I feel sorry for anyone who is a completist collector of Gizz releases.,[],2024-10-24T04:39:06Z,@SonovaBish
"Aussie Aussie Aussie, OI OI OI!!!  \m/",[],2024-10-24T04:36:24Z,@DMSProduktions
Trill shit…,[],2024-10-24T03:42:56Z,@ElG303
"Jess is crackin the whip, to head dooown...",[],2024-10-24T03:03:32Z,@dirtrockground4543
Who is Joe😂,[],2024-10-24T02:50:06Z,@pharphromphinished
08:33 is the most Aussie thing you'll hear all day,"['Hahaha I was thinking the same!', 'Angus Young that shit every day.', ""I mean.... It's not something like half of Americans wouldn't say either though.""]",2024-10-24T02:36:57Z,@LeonTodd
wearing a Darkthrone shirt . under a funeral moon is my fav bm album. great video joey is great.,[],2024-10-24T02:27:56Z,@tommythetrain1945
the flying banana is so iconic,[],2024-10-24T02:12:12Z,@zhalosc
"Sounds like he's been catching crocodiles all day, m8!",[],2024-10-24T02:03:19Z,@sgtwurstmesser
Why’d they change the thumbnail?,[],2024-10-24T02:01:45Z,@CamMan34
"crazy aussies represent, love em",[],2024-10-24T01:59:20Z,@johnnyresistance
Dressed like he's in a 80's P.E lesson at school,[],2024-10-24T01:53:23Z,@JN-North.Guitars
